,carat,cut,color,clarity,depth,table,x,y,z,clarity_num,color_num,cut_num,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,2,5,3,3224.698151617129
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,4,3,4,509.5238764411042
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,4,5,1,1356.394371149987
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,5,4,1,7818.152376168948
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,2,4,1,16424.602492278224
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,4,7,3,12697.28514815141
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,2,4,1,4905.519736093136
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,3,2,2,2298.1048224404203
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,4,6,2,1546.0512135842382
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,8,5,1,3576.0323493613405
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,4,1,4,6551.9367301185885
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,6,4,1,947.3725084746766
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,6,7,1,851.8877963984032
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,4,1,1,728.4457898603578
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,4,1,5,970.4509138883914
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,3,2,1,1382.3802283008572
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,3,6,4,268.38527992967465
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,2,5,4,18265.582370647357
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,3,3,2,4352.088629672484
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,8,4,1,860.9013465082517
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,3,5,3,4259.395845820798
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,5,3,3,474.39871093462716
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,2,3,3,4255.8171664521005
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,5,3,1,5353.618952542964
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,2,1,2,6836.612505943883
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,5,2,2,816.5591856126794
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,6,3,1,2099.773888494601
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,3,4,2,1876.8705928266936
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,6,1,2,1048.1487940151383
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,1,6,3,1196.5806715289227
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5,6,3,4598.960273174904
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,6,3,1,745.603316028777
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,7,6,1,2723.387468643301
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,2,1,1,3345.1273074035107
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,3,4,3,875.9632049477896
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,4,2,1,7356.770913884668
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,5,1,1,1214.5033803302504
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,4,3,1,6619.6371536067745
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,3,1,1,765.7689288278907
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,5,7,2,431.86304212721734
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,6,1,3,814.699309352829
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,5,4,1,570.7931569756747
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,5,4,1,126.61540393556697
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,5,3,1,672.5499135210302
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,8,3,3,14504.179145491713
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,5,7,1,5121.419978787318
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,3,5,2,9872.905925553585
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,2,2,3,1075.9805737221086
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,8,4,1,808.9701572669856
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,2,2,2,3707.41570738866
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,4,2,2,1642.9530470375066
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,2,5,1,5160.673089259415
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,2,4,2,6447.006574211371
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,4,5,2,389.69421719379807
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,4,2,1,3207.1191556627673
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,7,5,1,10242.584864176337
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,4,3,4,428.81832443903477
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,1,3,3,2517.7016236964114
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,3,1,1,5943.4290550432
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,2,2,4,4345.7305707920805
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,6,5,1,1743.906532339326
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,8,2,1,1476.4005234206052
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,6,1,2,4332.248373357625
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,3,4,4,784.6244734615066
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,4,4,1,1870.427656889271
